prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/03665580-6F92-40DD-9664-977494F2434F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704214,MIN BUKITTINGGI,60704214,JALAN KUSUMA BHAKTI GULAI BANCAH BUKITTINGGI,KUBU GULAI BANCAH,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-.288589000000,100.371300000000,0,251,301,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA00E0E1-8E4D-44C6-B433-1F33CF1B0882,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704215,MIS AL IKHWAN,60704215,JLN PINTU KABUN NO. 99,PULAI ANAK AIR,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,MI,Kementerian Agama,,,,01-01-1900,376/kw.03/2-e/PP.006/MI/09/2019,11-09-2019,Silakan Upload SK (link file tidak valid) => [679809-846386--],2022-08-16 15,B,0,,2.,,,,,,-.294403000000,100.358580000000,0,158,157,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/35248F80-5A00-4B3E-AF93-EAB67DA40AD4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10311394,MTSN 1 KOTA BUKITTINGGI,10311394,JL. KUSUMA BHAKTI,KUBU GULAI BANCAH,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,KMA RI Nomor 16 Tahun 1978,16-03-1978,KMA Nomor 16 Tahun 1978,16-03-1978,Lihat SK Operasional,2022-08-22 00,A,0,,2.,,,,,,-.288700000000,100.366000000000,0,439,628,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3224744F-156F-4392-B207-13FE8D362C92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60725142,MTSN 2 KOTA BUKITTINGGI,60725142,JL. PANORAMA BARU PO.BOX.44 BUKITTINGGI,PULAI ANAK AIR,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-.277793000000,100.364858000000,0,331,453,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DC4F3150-4D4F-4215-8D67-194EDDC97DC1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10311396,MTSS AL MA ARIF,10311396,JL. KOTO SELAYAN,KOTO SELAYAN,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-.297320000000,100.391333000000,0,29,18,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9CB71347-FD34-4F82-A8B9-4E291ECC99C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10311397,MTSS PPM MADINATUL MUNAWWARAH,10311397,JL. ABDUL MANAN,CAMPAGO GUGUK BULEK,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,MTs,Kementerian Agama,,,09,01-01-2001,457 Tahun 2019,28-10-2019,Lihat SK Operasional,2022-08-25 00,A,0,,2.,,,,,,-.287000000000,100.381300000000,0,161,155,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E30DD63A-56C3-4487-BD8A-12E00086BE4B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69977524,SD ISLAM AL AZHAR 67 BUKITTINGGI,69977524,JL. MR. ASAAT NO. 70,CAMPAGO GUGUK BULEK,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Insan Karima Cendikia,AM0839,AHU-598.AH.02.01.TAHUN 2011,19-08-2011,420/12/DPMPTSPPTK-PP/PLS/IV-2018,24-04-2018,Lihat SK Operasional,2019-05-11 13,A,750,1. -,2. Telkom Speedy,PLN,,,alazhar4849@gmail.com,,-.292600000000,100.384200000000,36,293,237,21,Sehari Penuh/5 hari,,2022/2023-2,"2,000",22,1,1,6,0,0,12,25,36,0,0,0,2,34,1,18,17,28,5,2,1,0,0,0,8,28,SD 2013,Tidak Ada,4,4,4,3,3,3,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0005779-2FF5-E011-8CC9-8DA2E74C4743,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307947,SD ISLAM AL FALAH,10307947,Jl. Masjid Nurul Huda Panganak,PUHUN PINTU KABUN,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPI AL FALAH,AM0843,,27-10-1983,800/236/DISDIKPORA-BKT/TS,16-07-2012,Silakan Upload SK,,A,"1,620",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,075231274,sdialfalahbukittinggi@gmail.com,,-.293519000000,100.357285000000,29,247,192,18,Siang/6 hari,,2022/2023-2,"7,700",18,0,1,8,0,0,35,1,29,0,0,0,13,16,1,23,5,11,5,3,3,3,1,3,7,22,SD 2013,Telkomsel Flash,3,3,3,3,3,3,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0F45C79-2FF5-E011-9658-E54E386F5526,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307942,SD ISLAM AL ISHLAH BUKITTINGGI,10307942,Jl. Mr. Asaad No.52B Banto Darano,CAMPAGO GUGUK BULEK,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ISLAM AL ISHLAH,AM0857,953/I08.05/R-1993,04-08-1993,420/32/DPMPTSPPTK-PPA/VI-2019,14-06-2019,Lihat SK Operasional,2020-01-29 15,A,"15,301",1.,2.,PLN,,0752-625501,sdi_al_ishlah@yahoo.co.id,,-.290294000000,100.385248000000,51,360,330,25,Pagi/6 hari,,2022/2023-2,"7,000",25,0,1,2,0,0,47,9,48,0,3,0,19,32,0,31,20,9,11,13,4,9,4,1,12,39,SD 2013,Axis,4,4,4,4,4,5,,,
Sumatera Barat,Kota Bukittinggi,Mandiangin Koto Selayan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47A1EE50-D402-438D-9BF5-CA74AA754005,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69987116,SD ISLAM CENDEKIA,69987116,Jl. Veteran No. 202 Simpang Jirek,PUHUN PINTU KABUN,KEC. MANDIANGIN KOTO SELAYAN,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Cendekia Muslim Indonesia,AW8557,01/04/YCMI/IV/2018,01-04-2018,420/21/DPMPTSPPTK-PPA/IV-2019,08-04-2019,Lihat SK Operasional,2019-04-18 11,,0,1. -,2. Lainnya (Serat Optik),PLN,075234448,075234448,cendekiabkt@gmail.com,http,-.293000000000,100.367500000000,11,74,42,6,Sehari Penuh/5 hari,,2022/2023-2,"2,200",8,1,1,8,0,0,15,1,11,0,0,0,0,11,0,9,2,10,1,0,0,0,0,0,5,6,SD 2013,Tidak Ada,1,1,1,2,1,0,,,
